what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801986973
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801989529
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454801995465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454801996245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802010137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1454802022228
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802024845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802025222
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802112472
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802125300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802172388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802180737
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802189570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802220444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802220977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802232935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802235240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802268670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802292561
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802293067
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802324896
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1454802327503
error,log,,,"The URL ""bundleentry://615.fwk2098637143/icons/full/obj16/sort.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1454802333199
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1454802333239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802341482
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802344792
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802356173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802399285
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802406691
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802407989
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802504196
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1454802504256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802516497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802517414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802588765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802590451
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802605639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802610749
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1454802616000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802616031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802622521
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1454802626895
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1454802626943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802626977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802630017
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1454802634408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802634441
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802649011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802650420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802659897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802662495
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1454802664375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802664406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802674338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802674757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802681287
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802690510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802690963
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802698284
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1454802709896
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1454802710593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454802717160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802717460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802886665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802887923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802967012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454802968893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454803392795
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454803396209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454868746166
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454868747965
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454868749576
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1454868749885
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1454868750026
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1454868750026
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1454868750027
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1454868750027
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1454868750028
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1454868750052
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1454868750052
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1454868750052
